DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
8-Jan-2009,2009.0,Boating,AUSTRALIA,Victoria,Off Tower Hill,fishing,"No injury to occupants, shark bit propeller",N,"White shark, 5.5 m ",Jan,Fishing,white shark
-Jan-2009,2009.0,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,surfing,"No injury, bumped off board by the shark",N,,Jan,Surfing,unknown
3-Jan-2009,2009.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai",,FATAL,Y,White sharks,Jan,Fishing,white shark
2-Jan-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",snorkeling,Puncture wounds to right calf,N,"Dusky shark, 2m",Jan,snorkeling,"dusky shark, 2m"
-Jan-2009,2009.0,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,surfing,Severe lacerations to right leg,N,"White shark, 5m",Jan,Surfing,white shark
-Jan-2009,2009.0,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,surfing,Left thigh severely bitten,N,"White shark, 3.5m",Jan,Surfing,white shark
-Jan-2009,2009.0,Boating,NEW ZEALAND,North Island,Hawkes Bay,fishing,"No injury to occupants, shark hit boat & bit outboard motor",N,"Mako shark, 3m",Jan,Fishing,"mako shark, 3m"
-Jan-2009,2009.0,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,surfing,Right lower leg bitten & defense wounds to hand,N,,Jan,Surfing,unknown
-Jan-2009,2009.0,Unprovoked,NEW ZEALAND,North Island,Haumoana ,swimming,Posterior thigh bitten,N,Broadnose sevengill shark,Jan,Swiming,broadnose sevengill shark
Jan-2009,2009.0,Unprovoked,CUBA,Guantanamo Province,Guantanamo,spearfishing,Lacerations to right calf,N,Bull shark,Jan,Fishing,bull shark
30-Dec-2008,2008.0,Invalid,AUSTRALIA,Western Australia,Port Kennedy Beach,crabbing,"Reports said a shark attacked the dinghy, but Vickery said it did not",UNKNOWN,No shark involvement,Dec,crabbing,no shark involvement
27-Dec-2008,2008.0,Boating,AUSTRALIA,Tasmania,near Schouten Island,yacht race,No injury to occupants -  shark became entangled in aft rudder,N,2 m shark,Dec,yacht race,2 m shark
27-Dec-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,boogie boarding,"No injury, shark tore his swim fin",N,,Dec,boogie boarding,unknown
27-Dec-2008,2008.0,Boating,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",kayaking,"No injury, shark struck kayak, catapulting him into the water",N,"White shark, 4m to 5m ",Dec,kayaking,white shark
27-Dec-2008,2008.0,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,snorkeling,FATAL,Y,4 to 5m white shark,Dec,snorkeling,white shark
20-Dec-2008,2008.0,Boating,USA,California,"Dillon Beach, Marin County",kayaking,"No injury, shark struck paddle",N,White shark,Dec,kayaking,white shark
4-Dec-2008,2008.0,Unprovoked,NEW ZEALAND,North Island,Maraetai,fishing,Lacerations to left calf and ankle,N,Bronze whaler shark?,Dec,Fishing,bronze whaler shark?
-Dec-2008,2008.0,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,fishing,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,"Raggedtooth shark, 2m",Dec,Fishing,"raggedtooth shark, 2m"
-Dec-2,2008.0,Boating,AUSTRALIA,New South Wales,Mowarry Point,fishing,Shark bit boats sea anchor,N,"White shark, 4.5 to 5 m ",Dec,Fishing,white shark
Dec-2008,2008.0,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,spearfishing,FATAL,Y,Zambesi shark?,Dec,Fishing,zambesi shark?
28-Nov-2008,2008.0,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,scuba diving,Lacerations to fingers,N,Oceanic whitetip shark,Nov,Diving,white shark
25-Nov-2008,2008.0,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait,sinking of the cargo ship mark jason,"Of the 20 crew, 4 were bitten by shark. None of their iinjuries were life-threatening",N,,Nov,sinking of the cargo ship mark jason,unknown
24-Nov-2008,2008.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz,,Leg bitten,N,,Nov,Fishing,unknown
9-Nov-2008,2008.0,Boating,AUSTRALIA,South Australia,North Haven,fishing,"No injury to occupant, shark bit dinghy & motor",N,Bronze whaler shark,Nov,Fishing,bronze whaler shark
9-Nov-2008,2008.0,Sea Disaster,TAIWAN,,50 miles off Kaohsiung,fishing boat swamped in storm,FATAL,Y,,Nov,Fishing,unknown
-Nov-2008,2008.0,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",fishing,Torso & righ arm bitten FATAL,Y,,Nov,Fishing,unknown
22-Oct-2008,2008.0,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",scuba diving,Small laceration to head from captive shark,N,"Grey nurse shark, 3m",Oct,Diving,grey shark
21-Oct-2008,2008.0,Unprovoked,NEW CALEDONIA,,,spearfishing,Legs bitten,N,Lemon shark,Oct,Fishing,lemon shark
2-Oct-2008,2008.0,Provoked,AUSTRALIA,Northern Territory,Darwin,fishing,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N," reef shark, 1.8m",Oct,Fishing," reef shark, 1.8m"
-Oct-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,surfing,"No injury, board damaged",N,,Oct,Surfing,unknown
8-Oct-2008,2008.0,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",fishing,Lacerations,N,,Oct,Fishing,unknown
-Oct-2008,2008.0,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",spearfishing,Calf bitten,N,5 m white shark,Oct,Fishing,white shark
28-Sep-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Small puncture wounds to the heel of left foot,N,,Sep,Surfing,unknown
28-Sep-2008,2008.0,Unprovoked,USA,Florida,Bethune Beach,surfing,Right foot bitten,N,+3' shark,Sep,Surfing,+3' shark
5-Sep-2008,2008.0,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,swimming,Right hand lacerated by netted shark PROVOKED INCIDENT,N,Bronze whaler shark,Sep,Swiming,bronze whaler shark
4-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",swimming,Lacerations to foot,N,2' to 3' juvenile shark,Sep,Swiming,2' to 3' juvenile shark
9-Sep-2008,2008.0,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",surfing,Bitten on right thigh & calf,N,Tiger shark,Sep,Surfing,tiger shark
8-Sep-2008,2008.0,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",surfing,"No injury to surfer, board bitten",N,"White shark, 14' to 16' ",Sep,Surfing,white shark
7-Sep-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",surfing,Shark became tangled in his surfboard leash. The surfer was not injured,N,3 m shark,Sep,Surfing,3 m shark
-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Minor injury to foot,N,,Sep,Surfing,unknown
-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Minor injury to foot,N,,Sep,Surfing,unknown
-Sep-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Shark bumped right ankle,N,4' shark,Sep,Surfing,4' shark
Sep-2008,2008.0,Unprovoked,USA,Florida,Hutchinson Island,surfing,Right hand bitten,N,,Sep,Surfing,unknown
30-Aug-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",surfing,"No injury, bumped off board by the shark",N,,Aug,Surfing,unknown
30-Aug-2008,2008.0,Invalid,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",swimming,Death was probably due to drowning,UNKNOWN,Shark involvement not confirmed,Aug,Swiming,shark involvement not confirmed
30-Aug-2008,2008.0,Provoked,UNITED KINGDOM,North Devon, Lundy Island,fishing,Wrist bitten by hooked shark PROVOKED INCIDENT,N,Blue shark,Aug,Fishing,blue shark
28-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Superfical cut to left ankle,N,,Aug,Surfing,unknown
27-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to lower left leg,N,6' shark,Aug,Surfing,6' shark
24-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County","swimming, towing surfboard",Minor injury to left foot,N,,Aug,Swiming,unknown
24-Aug-2008,2008.0,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County",surfing,Calf bitten,UNKNOWN,Shark involvement not confirmed,Aug,Surfing,shark involvement not confirmed
20-Aug-2008,2008.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",swimming,3 lacerations to forearm,N,,Aug,Swiming,unknown
8-Aug-2008,2008.0,Invalid,USA,South Carolina,"North Myrtle Beach, Horry County",,Minor injuries,UNKNOWN,Shark involvement not confirmed,Aug,Fishing,shark involvement not confirmed
-Aug-2008,2008.0,Unprovoked,USA,US Virgin Islands,Buck Island,treading water,Severe lacerations to left foot,N,8' bull shark or Caribbean reef shark,Aug,treading water,bull shark
2-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",wading,Puncture wounds & 3-inch laceration to right calf,N,,Aug,wading,unknown
-Aug-2008,2008.0,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",diving,"No injury, shark grabbed his bag of fish",N,"Tiger shark, 12'",Aug,Diving,tiger shark
30-Jul-2008,2008.0,Unprovoked,AUSTRALIA,Victoria,Levys Beach,surfing,"No injury, surfboard leash severed",N,8' white shark or 7-gill shark,Jul,Surfing,white shark
30-Jul-2008,2008.0,Unprovoked,SOUTH AFRICA,,,,Lacerations to fingers,N,White shark,Jul,Fishing,white shark
27-Jul-2008,2008.0,Unprovoked,PANAMA,San Carlos,Playa Teta,swimming or surfing,5 lacerations to left foot,N,3'  shark,Jul,Swiming,3'  shark
26-Jul-2008,2008.0,Unprovoked,MEXICO,Cabo San Lucas,,swimming,3 puncture wounds to toe,N,2'  shark,Jul,Swiming,2'  shark
26-Jul-2008,2008.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",swimming,Minor injury,N,2' to 3' reef shark,Jul,Swiming,2' to 3' reef shark
25-Jul-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot bitten,N,,Jul,Surfing,unknown
25-Jul-2008,2008.0,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",snorkeling,Forearm bitten ,N,,Jul,snorkeling,unknown
24-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County",wading,Minor lacerations to  toe,N,3' shark,Jul,wading,3' shark
24-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",wading,Lacerations to dorsum of right foot ,N,3' to 4' shark,Jul,wading,3' to 4' shark
23-Jul-2008,2008.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,,Jul,Surfing,unknown
9-Jul-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",wading,Lacerations to lower left leg,N,4' shark,Jul,wading,4' shark
8-Jul-2008,2008.0,Unprovoked,EGYPT,,Daedalus Reef,diving,Leg severed,N,Oceanic whitetip shark,Jul,Diving,white shark
3-Jul-2008,2008.0,Invalid,USA,North Carolina,"Carolina Beach, New Hanover County",body surfing,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",UNKNOWN,Shark involvement not confirmed,Jul,Surfing,shark involvement not confirmed
-Jul-2008,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",surfing,Laceration to foream,N,,Jul,Surfing,unknown
9-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",swimming,Lacerations to  right foot,N,,Jul,Swiming,unknown
5-Jul-2008,2008.0,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",,Lacerations to right foot,N,,Jul,Fishing,unknown
Jul-2008,2008.0,Boating,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",rowing an inflatable dinghy,Shark leapt into & damaged the dinghy but no injury to occupants,N,"Starry smoothhound shark, 1m",Jul,rowing an inflatable dinghy,"starry smoothhound shark, 1m"
28-Jun-2008,2008.0,Invalid,USA,Hawaii,"Kamilo Point, Hawai'i",wading,Probable drowning with post-mortem bites,UNKNOWN,Shark involvement prior to death not confirmed,Jun,wading,shark involvement prior to death not confirmed
28-Jun-2008,2008.0,Unprovoked,BAHAMAS,Abaco Islands,,spearfishing,Lacerations to calf,N,"Bull shark, 6' to 7'",Jun,Fishing,bull shark
28-Jun-2008,2008.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,surf skiing ,"No injury, ski bitten",N,"White shark, 2m",Jun,Surfing,white shark
26-Jun-2008,2008.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,spearfishing (free diving),No injury,N,"White shark, 4.5m",Jun,Fishing,white shark
26-Jun-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor laceration to foot,N,,Jun,Surfing,unknown
26-Jun-2008,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",swimming,Lacerations to hand,N,4.5 to 5' shark,Jun,Swiming,4.5 to 5' shark
24-Jun-2008,2008.0,Unprovoked,BRAZIL,Bahia,Guarajuba,surfing,"No injury, board bitten",N,,Jun,Surfing,unknown
21-Jun-2008,2008.0,Boating,USA,California,"West Cove, Catalina Island",kayaking," No injury. Shark bumped kayak, flinging her into the  water. ",N,"White shark, 15'",Jun,kayaking,white shark
20-Jun-2008,2008.0,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",wading,Lacerations to lower right calf,N,,Jun,wading,unknown
-Jun-2008,2008.0,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",surfing,Laceration to left leg & foot,N,,Jun,Surfing,unknown
7-Jun-2008,2008.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",body surfing,Lacerations & abrasions to right hand,N,,Jun,Surfing,unknown
2-Jun-2008,2008.0,Boating,SCOTLAND,Easter Ross,Balintore Bay,fishing,No injury to occupants; shark struck their boat,N,Basking shark,Jun,Fishing,basking shark
-Jun-2008,2008.0,Unprovoked,USA,South Carolina,Cherry Grove,body surfing,Foot bitten,N,5' shark,Jun,Surfing,5' shark
-Jun-2008,2008.0,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",swimming,"Hand severed, buttocks bitten",N,Bull shark,Jun,Swiming,bull shark
26-May-2008,2008.0,Unprovoked,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",surfing,Biceps & lower arm bitten,N,,May,Surfing,unknown
24-May-2008,2008.0,Sea Disaster,BAHAMAS,Grand Bahama Island,Off West End,sea disaster,Boat capsized in squall. 2 bodies scavenged  by sharks,N,Tiger sharks in area,May,sea disaster,tiger shark
24-May-2008,2008.0,Unprovoked,MEXICO,Guerro,Playa Linda,surfing,Lacerations to right forearm and hand,N,3 m shark,May,Surfing,3 m shark
23-May-2008,2008.0,Unprovoked,MEXICO,Guerro,Pantla Beach,surfing,FATAL,Y,2 m shark,May,Surfing,2 m shark
4-May-2008,2008.0,Unprovoked,FIJI,Yasawa Islands,Turtle Island,night diving,FATAL,Y,,May,Diving,unknown
-May-2008,2008.0,Unprovoked,AUSTRALIA,Western Australia,Albany,swimming,Severe lacerations to left leg,N,"White shark, 4m",May,Swiming,white shark
7-May-2008,2008.0,Unprovoked,NEW CALEDONIA,North Province,Hiengh�ne,fishing,Lower legs bitten,N,2 small bull sharks,May,Fishing,bull shark
7-May-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",wading,2 inch laceration to left lower calf.,N,,May,wading,unknown
-May-2008,2008.0,Provoked,SOUTH AFRICA,,,fishing,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,N,,May,Fishing,unknown
28-Apr-2008,2008.0,Unprovoked,MEXICO,Guerro,Troncones Beach,surfing,FATAL    Severe bite to right thigh,Y,Tiger shark,Apr,Surfing,tiger shark
28-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,3-inch laceration to dorsal surface of left foot,N,4' shark,Apr,Surfing,4' shark
27-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Calf bitten,N,,Apr,Surfing,unknown
26-Apr-2008,2008.0,Unprovoked,NEW CALEDONIA,North Province,Poindimi�,swimming,Lacerations to left foot,N,"Bull shark, 1.8m",Apr,Swiming,bull shark
26-Apr-2008,2008.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Puncture wounds to right foot                  PROVOKED INCIDENT,N,,Apr,Surfing,unknown
25-Apr-2008,2008.0,Unprovoked,USA,California,"Solana Beach, San Diego County",swimming,FATAL,Y,"White shark, 12' to 15'",Apr,Swiming,white shark
20-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Cuts & punctures to right foot,N,,Apr,Surfing,unknown
20-Apr-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,,,UNKNOWN,"Tiger shark, 2.3m ",Apr,Fishing,tiger shark
9-Apr-2008,2008.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,free-diving,"As he pushd the shark away from his camera, his finger was cut on a tooth",UNKNOWN,"Tiger shark, 13' female",Apr,Diving,tiger shark
8-Apr-2008,2008.0,Invalid,MEXICO,Quintana Roo,"Delfines Beach, Cancun",swimming,Probable drowning with post-mortem bites,UNKNOWN,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",Apr,Swiming,"reported by media as shark attack, but shark involvement prior to death was not confirmed"
7-Apr-2008,2008.0,Invalid,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",surfing,2 puncture wounds to leg,UNKNOWN,Shark involvement not confirmed; thought to be a barracuda bite,Apr,Surfing,shark involvement not confirmed; thought to be a barracuda bite
5-Apr-2008,2008.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",surfing,Puncture wounds to right foot,N,1.5' to 2' shark,Apr,Surfing,1.5' to 2' shark
9-Apr-2008,2008.0,Unprovoked,FIJI,,,spearfishing,Left forearm bitten ,N,,Apr,Fishing,unknown
25-Mar-2008,2008.0,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County",wading,Shin bitten,N,6' shark,Mar,wading,6' shark
8-Apr-2008,2008.0,Unprovoked,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",surfing,Foot bitten,N,,Apr,Surfing,unknown
8-Apr-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",body boarding,FATAL,Y,Bull shark,Apr,body boarding,bull shark
3-Apr-2008,2008.0,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",walking out of the water after surfing,Right foot & ankle bitten,N,,Apr,Surfing,unknown
28-Mar-2008,2008.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,fishing from surfski,Right leg bitten,N,,Mar,Fishing,unknown
28-Mar-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",surfing,Foot bitten,N,4' to 5' shark,Mar,Surfing,4' to 5' shark
28-Mar-2008,2008.0,Unprovoked,USA,Florida,"Near Cocoa Beach, Brevard  County",boogie boarding,Right foot bitten,N,a small shark,Mar,boogie boarding,a small shark
23-Mar-2008,2008.0,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",walking out of the water after surfing,Three small lacerations/ punctures to right foot,N,2.5' shark,Mar,Surfing,2.5' shark
21-Mar-2008,2008.0,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",wading,Two 3-inch lacerations to right ankle,N,,Mar,wading,unknown
5-Mar-2008,2008.0,Unprovoked,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",jet skiing,Minor injury,N,Shark involvement not confirmed,Mar,jet skiing,shark involvement not confirmed
7-Mar-2008,2008.0,Unprovoked,USA,California," Huntington Beach, Orange County",surfing,"No injury to surfer, surfboard bitten by the shark",N,White shark,Mar,Surfing,white shark
24-Feb-2008,2008.0,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",diving,"Leg bitten, FATAL",Y,"A bull shark, according to some of the divers on the boat",Feb,Diving,bull shark
21-Feb-2008,2008.0,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,spearfishing,Lacerations to face,N,,Feb,Fishing,unknown
5-Feb-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Lacerations to foot,N,,Feb,Surfing,unknown
7-Feb-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,surfing,Abrasions to elbow; collided with shark,N,1 m shark,Feb,Surfing,1 m shark
-Feb-2008,2008.0,Unprovoked,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",surf-skiing,Lacerations to foot,N,3' shark,Feb,Surfing,3' shark
2008.01.3,2008.0,Provoked,JAPAN,Tokyo Bay,,diving,"No injury, captive shark attempted to bite diver's arm PROVOKED INCIDENTt",UNKNOWN,"Goblin shark, 4.2'",2008.01.3,Diving,"goblin shark, 4.2'"
29-Jan-2008,2008.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",surf-skiing,"No injury to surf-skiier, shark holed ski",N,"Blacktip shark, 2m",Jan,Surfing,blacktip shark
27-Jan-2008,2008.0,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  ,accidentally stood on hooked shark's tail before attempting to gut it ,Laceration to left knee PROVOKED INCIDENT,N,"Mako shark, 90kg",Jan,accidentally stood on hooked shark's tail before attempting to gut it ,"mako shark, 90kg"
9-Jan-2008,2008.0,Invalid,NEW ZEALAND,South Island,Marfells Beach,wading,"Stingray envenomation, not a shark",UNKNOWN,No shark involvement,Jan,wading,no shark involvement
4-Jan-2008,2008.0,Boating,NEW ZEALAND,North Island,Omaha Beach,attempting to chase shark out to sea,"No injury to occupants, pontoon punctured",N,"Bronze whaler shark, 4m",Jan,attempting to chase shark out to sea,"bronze whaler shark, 4m"
-Jan-2008,2008.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",surfing,Left foot bitten,N,a small shark,Jan,Surfing,a small shark
Fall 2008,2008.0,Provoked,USA,Florida,"Off Fort Pierce, St. Lucie County",fishing for snapper,Minor injury to hand by hooked shark   PROVOKED INCIDENT,N,"Nurse shark, 10'",Fall,Fishing,"nurse shark, 10'"
Summer-2008,2008.0,Unprovoked,MEXICO,Baja California,Playas de Tijuana,surfing,Leg bitten,N,Possibly a hammerhead shark,Summer,Surfing,possibly a hammerhead shark
21-Dec-2007,2007.0,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island,surfing,Lacerations & puncture wounds  to left thigh,N,3 m shark,Dec,Surfing,3 m shark
9-Dec-2007,2007.0,Invalid,BRITISH VIRGIN ISLANDS,Green Bay,,scuba diving,Shark bites were post-mortem,UNKNOWN,Invalid,Dec,Diving,invalid
8-Dec-2007,2007.0,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,surfing,Severe lacerations to right buttock,N,2 m shark,Dec,Surfing,2 m shark
5-Dec-2007,2007.0,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,swimming,Lacerations to hand,N,"""a small shark""",Dec,Swiming,"""a small shark"""
4-Dec-2007,2007.0,Invalid,AUSTRALIA,New South Wales,Bondi ,swimming,Lacerations to left forearm,UNKNOWN,Not a shark attack; it was a hoax,Dec,Swiming,not a shark attack; it was a hoax
-Dec-2007,2007.0,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",surfing,"No injury, shark bit surfboard ",N,Tiger shark,Dec,Surfing,tiger shark
9-Dec-2007,2007.0,Unprovoked,NEW ZEALAND,South Island,Kaikoura,surfing,"No injury, shark bit surfboard & severed leash",N,,Dec,Surfing,unknown
7-Dec-2007,2007.0,Unprovoked,BRAZIL,Pernambuco,Itamarac�,removing fish from a trap,20 cm injury to left foot,N,2.27 m shark,Dec,Fishing,2.27 m shark
8-Nov-2007,2007.0,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,fishing,Minor injury to finger by netted shark PROVOKED INCIDENT,N,reef shark,Nov,Fishing,reef shark
8-Nov-2007,2007.0,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",surfing,"No injury, teethmarks in board & torn wetsuit",N,,Nov,Surfing,unknown
7-Nov-2007,2007.0,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,surfing,Lacerations to feet,N,1.5 to 2 m shark,Nov,Surfing,1.5 to 2 m shark
-Nov-2007,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Cut to right knee,N,4' to 5' shark,Nov,Surfing,4' to 5' shark
4-Nov-2007,2007.0,Unprovoked,USA,Florida,"Round Island Park, Indian River County",surfing,Lacerations to right leg,N,5' shark,Nov,Surfing,5' shark
3-Nov-2007,2007.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,surfing,Lacerations to thigh,N,"White shark, 3m to 4m",Nov,Surfing,white shark
November 2,2007.0,Invalid,MEXICO,Baja California,Guadalupe Island,shark diving,White shark breached cage. No injury to occupants,UNKNOWN,Invalid,Nov,Diving,invalid
29-Oct-2007,2007.0,Unprovoked,USA,Hawaii,"Wailea, Maui",floating,Lacerations to left lower leg,N,Tiger shark,Oct,floating,tiger shark
5-Oct-2007,2007.0,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,surf-skiing,small laceration to wrist,N,"White shark, 2.5m ",Oct,Surfing,white shark
3-Oct-2007,2007.0,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,spearfishing,Laceration to calf,N,Bronze whaler shark,Oct,Fishing,bronze whaler shark
7-Oct-2007,2007.0,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",surfing,4 scratches on left hand,N,3' to 4' shark,Oct,Surfing,3' to 4' shark
-Oct-2007,2007.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",surfing,Severe lacerations to right hand,N,"Blacktip shark, 5'",Oct,Surfing,blacktip shark
30-Sep-2007,2007.0,Unprovoked,USA,California,"Santa Monica, Los Angeles County",surfing,Puncture wound to foot,N,,Sep,Surfing,unknown
30-Sep-2007,2007.0,Sea Disaster,PHILIPPINES,Palawan,Off Cagayancillo,"the 426-ton cargo ship mia, laden with cement, capsized in heavy seas ","FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",Y,,Sep,"the 426-ton cargo ship mia, laden with cement, capsized in heavy seas ",unknown
30-Sep-2007,2007.0,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",swimming,FATAL,Y,Tiger shark,Sep,Swiming,tiger shark
28-Sep-2007,2007.0,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,spearfishing,Thigh bitten,N,Caribbean reef shark,Sep,Fishing,caribbean reef shark
