DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,stand-up paddleboarding,Injuries to right leg & hand,N,"Tiger shark, 12'",Mar,stand-up paddleboarding,tiger shark
4-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,wading,Minor injuries to legs,N,Wobbegong shark,Mar,wading,wobbegong shark
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,swimming,"No injury, said to have been charged by sharks several times",N,3.5 m shark,Mar,Swiming,3.5 m shark
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,surfing,"Minor injury, ankle grazed",N,1.8 m shark,Mar,Surfing,1.8 m shark
24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,scuba diving, The shark & man simply collided; neither were injured,N,Blacktip shark,Feb,Diving,blacktip shark
23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",swimming,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m",Feb,Swiming,white shark
8-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,kayak fishing for sharks,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,,Feb,Fishing,unknown
5-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",walking,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m",Feb,walking,bull shark
4-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,swimming,"Collision / No injury, no attack",N,Possibly a wobbegong,Feb,Swiming,possibly a wobbegong
-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,cleaning fish,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark",Feb,Fishing,"injury believed caused by an eel, not a shark"
3-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,snorkeling,Injuries to right foot,N,Galapagos shark?,Feb,snorkeling,galapagos shark?
-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",spearfishing,"No injury no attack. This is considerd an ""encounter""",N,2m shark,Feb,Fishing,2m shark
28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,Injuries to right leg,N,Bull shark,Jan,Fishing,bull shark
